episode,reward,epsilon,steps,car_wait_avg,ped_wait_avg,signal_switches
234,-720.5,0.30945741577570285,200,5.151132478632479,1.0202136752136752,4804
235,-768.0,0.3079101286968243,200,5.147361702127659,1.022659574468085,4825
236,-913.0,0.3063705780533402,200,5.147478813559322,1.0217584745762711,4846
237,-849.5,0.30483872516307353,200,5.14710970464135,1.0211814345991561,4867
238,-874.5,0.3033145315372582,200,5.146365546218488,1.0217857142857143,4888
239,-755.5,0.3017979588795719,200,5.144581589958159,1.0211924686192468,4910
240,-870.5,0.30028896908517405,200,5.1427708333333335,1.0207708333333334,4932
241,-477.0,0.2987875242397482,200,5.138402489626556,1.021701244813278,4951
242,-363.5,0.29729358661854943,200,5.132417355371901,1.0224793388429751,4972
243,-1144.0,0.29580711868545667,200,5.133930041152263,1.0224897119341563,4993
244,-958.5,0.2943280830920294,200,5.135758196721311,1.0223565573770492,5013
245,-775.5,0.29285644267656924,200,5.134448979591837,1.0218367346938775,5033
246,-710.0,0.2913921604631864,200,5.132378048780488,1.0208333333333333,5054
247,-623.5,0.28993519966087045,200,5.1295748987854255,1.0209514170040486,5076
248,-1195.0,0.2884855236625661,200,5.13383064516129,1.020241935483871,5095
249,-638.5,0.28704309604425327,200,5.130803212851406,1.019979919678715,5115
250,-809.5,0.285607880564032,200,5.12992,1.01872,5134
251,-781.0,0.28417984116121187,200,5.127450199203187,1.0189043824701196,5156
252,-759.5,0.2827589419554058,200,5.126825396825397,1.0186309523809525,5176
253,-355.5,0.28134514724562876,200,5.121640316205534,1.016581027667984,5197
254,-760.5,0.2799384215094006,200,5.118996062992126,1.0153543307086614,5218
255,-832.0,0.27853872940185365,200,5.118235294117647,1.0155882352941177,5238
256,-1544.5,0.27714603575484437,200,5.1246484375,1.01552734375,5257
257,-925.5,0.2757603055760701,200,5.123326848249027,1.0161673151750972,5279
258,-674.0,0.2743815040481898,200,5.119786821705427,1.0171317829457365,5300
259,-821.0,0.2730095965279488,200,5.119227799227799,1.0174131274131275,5321
260,-693.5,0.27164454854530906,200,5.117826923076923,1.0162884615384615,5343
261,-765.5,0.2702863258025825,200,5.117452107279694,1.0160919540229885,5364
262,-918.5,0.2689348941735696,200,5.117652671755725,1.015763358778626,5386
263,-510.5,0.26759021970270175,200,5.114429657794677,1.0138212927756654,5408
264,-1059.5,0.2662522686041882,200,5.11532196969697,1.013655303030303,5430
265,-720.0,0.2649210072611673,200,5.113792452830189,1.0127547169811322,5452
266,-1423.0,0.26359640222486147,200,5.1199812030075185,1.0118233082706767,5472
267,-915.5,0.26227842021373715,200,5.121479400749064,1.0107677902621723,5492
268,-1339.5,0.2609670281126685,200,5.126305970149254,1.0098507462686568,5513
269,-630.5,0.25966219297210513,200,5.123382899628253,1.0086059479553904,5535
270,-534.5,0.2583638820072446,200,5.11862962962963,1.0081111111111112,5556
271,-496.0,0.2570720625972084,200,5.114428044280443,1.0079151291512916,5576
272,-587.0,0.25578670228422234,200,5.110919117647059,1.0079044117647058,5597
273,-589.0,0.25450776877280124,200,5.108296703296704,1.006978021978022,5618
274,-837.0,0.2532352299289372,200,5.108558394160584,1.006478102189781,5639
275,-1009.0,0.2519690537792925,200,5.109,1.0061818181818183,5660
276,-257.0,0.2507092085103961,200,5.103278985507246,1.0070108695652173,5681
277,-553.5,0.2494556624678441,200,5.0989350180505415,1.006696750902527,5703
278,-691.0,0.24820838415550486,200,5.096924460431655,1.0067446043165467,5724
279,-348.0,0.24696734223472733,200,5.091648745519714,1.0067741935483872,5745
280,-744.0,0.2457325055235537,200,5.090571428571429,1.0068392857142856,5766
281,-959.0,0.24450384299593592,200,5.090622775800711,1.007491103202847,5787
282,-536.5,0.24328132378095624,200,5.086985815602837,1.0063475177304964,5809
283,-278.5,0.24206491716205145,200,5.081731448763251,1.0043992932862191,5831
284,-466.0,0.2408545925762412,200,5.077940140845071,1.0040492957746479,5852
285,-849.0,0.23965031961336,200,5.077491228070175,1.0058596491228071,5875
286,-652.0,0.2384520680152932,200,5.075384615384616,1.0054195804195805,5896
287,-432.0,0.23725980767521673,200,5.070940766550523,1.0040592334494773,5918
288,-917.0,0.23607350863684065,200,5.073645833333333,1.0029340277777778,5938
289,-566.5,0.23489314109365644,200,5.071539792387544,1.0034602076124568,5960
290,-389.5,0.23371867538818816,200,5.0681724137931035,1.0032241379310345,5981
291,-769.5,0.23255008201124722,200,5.066563573883162,1.003470790378007,6001
292,-797.0,0.231387331601191,200,5.066335616438356,1.003236301369863,6023
293,-635.5,0.23023039494318503,200,5.064061433447099,1.0026962457337885,6045
294,-158.5,0.2290792429684691,200,5.058656462585034,1.0015986394557823,6067
295,-695.0,0.22793384675362674,200,5.057016949152542,1.0010508474576272,6089
296,-813.5,0.22679417751985861,200,5.057128378378378,1.001402027027027,6111
297,-924.5,0.22566020663225933,200,5.057845117845118,1.0022558922558922,6132
298,-654.0,0.22453190559909803,200,5.057315436241611,1.0010738255033558,6153
299,-239.0,0.22340924607110255,200,5.051688963210703,1.0014046822742475,6174
300,-415.5,0.22229219984074702,200,5.048783333333334,0.9995666666666667,6195
301,-751.5,0.2211807388415433,200,5.046727574750831,0.9997508305647841,6216
302,-543.5,0.22007483514733558,200,5.043890728476821,0.9996688741721854,6237
303,-1298.0,0.2189744609715989,200,5.048580858085809,0.9995709570957095,6258
304,-1175.0,0.2178795886667409,200,5.051644736842105,0.9984868421052632,6279
305,-745.0,0.2167901907234072,200,5.050524590163935,0.9984918032786885,6299
306,-506.0,0.21570623976979014,200,5.047859477124183,0.9993954248366013,6321
307,-867.0,0.21462770857094118,200,5.047312703583062,1.0002605863192182,6342
308,-704.0,0.21355457002808648,200,5.046607142857143,0.9997727272727273,6363
309,-837.0,0.21248679717794605,200,5.046650485436893,1.0004045307443366,6384
310,-537.5,0.21142436319205632,200,5.043725806451613,0.9996774193548387,6407
311,-607.5,0.21036724137609603,200,5.041173633440515,0.9991639871382637,6429
312,-961.5,0.20931540516921554,200,5.041826923076923,0.9982211538461538,6451
313,-530.0,0.20826882814336947,200,5.038945686900958,0.9977316293929712,6472
314,-709.0,0.20722748400265262,200,5.038105095541401,0.9984554140127389,6492
315,-333.0,0.20619134658263935,200,5.033507936507936,0.9981111111111111,6514
316,-1020.5,0.20516038984972615,200,5.0350158227848105,0.9987658227848101,6535
317,-642.5,0.2041345879004775,200,5.033280757097792,0.9987066246056783,6556
318,-789.0,0.2031139149609751,200,5.033836477987421,0.9981603773584906,6578
319,-814.5,0.20209834538617025,200,5.033557993730407,0.9986206896551724,6599
320,-436.0,0.2010878536592394,200,5.029421875,0.998484375,6621
321,-342.0,0.2000824143909432,200,5.024844236760124,0.9981152647975078,6643
322,-898.0,0.19908200231898848,200,5.026040372670807,0.9981366459627329,6664
323,-697.5,0.19808659230739353,200,5.024226006191951,0.9973374613003096,6685
324,-523.5,0.19709615934585656,200,5.021651234567901,0.996358024691358,6706
325,-764.0,0.19611067854912728,200,5.021107692307693,0.9956153846153846,6727
326,-1120.0,0.19513012515638165,200,5.022852760736196,0.9951840490797546,6748
327,-931.0,0.19415447453059972,200,5.022874617737003,0.9950305810397554,6769
328,-1048.5,0.19318370215794672,200,5.0251524390243905,0.9953810975609756,6791
329,-891.5,0.192217783647157,200,5.025820668693009,0.9948632218844985,6812
330,-804.0,0.1912566947289212,200,5.025939393939394,0.9948181818181818,6833
331,-542.5,0.1903004112552766,200,5.024154078549849,0.9948036253776436,6854
332,-488.5,0.18934890919900021,200,5.021671686746988,0.995105421686747,6875
333,-615.5,0.18840216465300522,200,5.01987987987988,0.994954954954955,6896
334,-970.5,0.18746015382974018,200,5.022035928143713,0.9945958083832336,6916
335,-481.0,0.1865228530605915,200,5.019985074626866,0.9935671641791045,6938
336,-747.5,0.18559023879528855,200,5.019077380952381,0.9938690476190476,6959
337,-611.0,0.1846622876013121,200,5.017270029673591,0.9940356083086054,6980
338,-354.5,0.18373897616330553,200,5.014008875739645,0.9939644970414201,7001
339,-956.5,0.182820281282489,200,5.014321533923304,0.994660766961652,7022
340,-672.5,0.18190617987607657,200,5.011985294117647,0.9955735294117647,7043
341,-415.5,0.18099664897669618,200,5.0091642228739,0.9957624633431085,7064
342,-828.0,0.1800916657318127,200,5.010175438596491,0.9951023391812865,7084
343,-503.0,0.17919120740315364,200,5.00768221574344,0.9946501457725948,7104
344,-1184.5,0.17829525136613786,200,5.010755813953488,0.9945494186046512,7124
345,-890.5,0.17740377510930716,200,5.011492753623188,0.9947391304347826,7144
346,-582.5,0.17651675623376062,200,5.00985549132948,0.9943352601156069,7163
347,-360.5,0.1756341724525918,200,5.006253602305476,0.994913544668588,7183
348,-622.0,0.17475600159032884,200,5.005316091954023,0.9947413793103448,7202
349,-652.0,0.17388222158237718,200,5.0046561604584525,0.994269340974212,7222
350,-679.0,0.1730128104744653,200,5.004071428571429,0.9934,7241
351,-382.5,0.17214774642209296,200,5.001296296296296,0.9932763532763533,7262
